id,dadid,momid,sex,seq
4290161,NA,NA,1,0
823934,NA,NA,2,0
830181,NA,NA,2,0
833858,NA,NA,1,0
833968,NA,NA,3,0
843786,NA,NA,1,0
849754,NA,NA,2,0
849759,NA,NA,1,0
849766,NA,NA,3,0
849861,NA,NA,2,0
849886,NA,NA,3,0
857572,NA,NA,3,0
857573,NA,NA,3,0
857574,NA,NA,3,0
857575,NA,NA,3,0
857576,NA,NA,3,0
857577,NA,NA,3,0
857578,NA,NA,3,0
857579,NA,NA,3,0
857580,NA,NA,3,0
857581,NA,NA,3,0
857582,NA,NA,3,0
857586,857585_1,857585,3,0
857587,857585_1,857585,3,0
857588,857585_1,857585,3,0
857589,857585_1,857585,3,0
857590,857585_1,857585,3,0
857591,NA,NA,3,0
857592,NA,NA,3,0
857594,857593_1,857593,3,0
857595,857593_1,857593,3,0
857596,857593_1,857593,3,0
857597,857593_1,857593,3,0
857598,857593_1,857593,3,0
857599,857593_1,857593,3,0
857600,857593_1,857593,3,0
858838,NA,NA,3,0
858840,858839_1,858839,3,0
858842,858839_1,858839,3,0
858843,858839_1,858839,3,0
858844,858839_1,858839,3,0
858845,858839_1,858839,3,0
858846,858839_1,858839,3,0
858847,NA,NA,3,0
858848,NA,NA,3,0
858849,NA,NA,3,0
858850,NA,NA,3,0
858923,NA,NA,3,0
858924,NA,NA,3,0
858925,NA,NA,1,0
858926,NA,NA,3,0
858927,NA,NA,3,0
858928,NA,NA,3,0
858929,NA,NA,3,0
858930,NA,NA,1,0
858931,NA,NA,3,0
858932,NA,NA,3,0
858933,NA,NA,3,0
858934,NA,NA,3,0
858935,NA,NA,3,0
858936,NA,NA,3,0
858939,NA,NA,3,0
858940,NA,NA,3,0
858941,NA,NA,3,0
858942,NA,NA,3,0
858943,NA,NA,3,0
858944,NA,NA,3,0
858945,NA,NA,3,0
858946,NA,NA,3,0
858947,NA,NA,3,0
858948,NA,NA,3,0
858949,NA,NA,3,0
858951,NA,NA,3,0
858952,NA,NA,3,0
858953,NA,NA,3,0
858954,NA,NA,1,0
858955,NA,NA,3,0
858956,NA,NA,3,0
858963,NA,NA,3,0
858964,NA,NA,3,0
858965,NA,NA,3,0
858966,NA,NA,3,0
858967,NA,NA,1,0
858969,858968_1,858968,3,0
858970,858968_1,858968,3,0
858971,858968_1,858968,3,0
858972,858968_1,858968,3,0
859653,NA,NA,1,0
859803,NA,NA,3,0
859804,NA,NA,2,0
859805,NA,NA,3,0
859806,NA,NA,3,0
859807,NA,NA,1,0
859922,NA,NA,3,0
859923,NA,NA,3,0
859924,NA,NA,3,0
859925,NA,NA,3,0
859927,NA,NA,3,0
859928,NA,NA,3,0
859929,NA,NA,1,0
859930,NA,NA,3,0
859931,NA,NA,3,0
859932,NA,NA,1,0
859933,NA,NA,3,0
859934,NA,NA,3,0
859935,NA,NA,3,0
859936,NA,NA,3,0
859937,NA,NA,2,0
859938,NA,NA,3,0
859939,NA,NA,3,0
859940,NA,NA,3,0
859941,NA,NA,3,0
859942,858977_1,858977,3,0
859943,858977_1,858977,2,0
859944,858977_1,858977,3,0
859945,858977_1,858977,3,0
859946,858977_1,858977,3,0
860160,NA,NA,3,0
860161,NA,NA,3,0
860162,NA,NA,3,0
860163,NA,NA,3,0
860164,NA,NA,3,0
860165,NA,NA,3,0
860169,858954,859947,1,0
860170,858954,859947,3,0
860171,858954,859947,3,0
860172,858954,859947,3,0
860173,858839_1,858839,3,0
860174,858839_1,858839,3,0
860175,858839_1,858839,3,0
860176,858839_1,858839,3,0
860177,858839_1,858839,2,0
860182,NA,NA,3,0
860183,NA,NA,3,0
860184,NA,NA,3,0
860185,NA,NA,3,0
860187,858967,859926,3,0
860188,858967,859926,3,0
860189,858967,859926,3,0
860190,858967,859926,3,0
860191,858967,859926,3,0
860192,858967,859926,3,0
860193,858967,859926,3,0
860194,NA,NA,3,0
860195,NA,NA,3,0
860196,NA,NA,3,0
860197,NA,NA,3,0
860198,NA,NA,1,0
860199,NA,NA,3,0
860200,NA,NA,3,0
860231,NA,NA,3,0
860232,NA,NA,3,0
860237,NA,NA,3,0
860238,NA,NA,3,0
860239,NA,NA,3,0
860240,NA,NA,3,0
860241,NA,NA,3,0
860242,NA,NA,3,0
860243,NA,NA,2,0
860244,NA,NA,3,0
860245,NA,NA,3,0
860246,NA,NA,3,0
860247,NA,NA,3,0
860251,NA,NA,3,0
860252,NA,NA,3,0
860253,NA,NA,3,0
860254,NA,NA,3,0
860255,NA,NA,3,0
860256,NA,NA,3,0
860257,NA,NA,3,0
860258,NA,NA,3,0
860259,NA,NA,3,0
860260,NA,NA,3,0
860261,NA,NA,3,0
860262,NA,NA,3,0
860263,NA,NA,3,0
860264,NA,NA,3,0
860265,NA,NA,3,0
860268,NA,NA,3,0
860269,NA,NA,3,0
860270,NA,NA,3,0
860271,NA,NA,3,0
860272,NA,NA,3,0
860273,NA,NA,3,0
860274,NA,NA,3,0
860275,NA,NA,3,0
860276,NA,NA,3,0
860277,NA,NA,3,0
860278,NA,NA,3,0
860279,NA,NA,3,0
860280,NA,NA,3,0
860281,NA,NA,3,0
860282,NA,NA,3,0
860283,NA,NA,1,0
860284,NA,NA,3,0
860285,NA,NA,3,0
860286,NA,NA,3,0
860287,NA,NA,3,0
860288,NA,NA,3,0
860289,NA,NA,3,0
860290,NA,NA,3,0
860291,NA,NA,3,0
860292,NA,NA,3,0
860294,NA,NA,3,0
860295,NA,NA,3,0
860296,NA,NA,3,0
861253,871645,871809,3,0
861254,871645,871809,3,0
861255,871645,871809,2,0
861256,871645,871809,3,0
861257,871645,871809,3,0
861258,871645,871809,3,0
861259,871636,865492,3,0
861260,871636,865492,3,0
861261,871636,865492,3,0
861263,864547,871622,3,0
861264,864547,871622,3,0
861265,865988,871409,3,0
861266,865490,871600,3,0
861267,865490,871600,3,0
861268,865490,871600,3,0
861269,865490,871600,3,0
861270,865490,871600,3,0
861271,865490,871600,3,0
861272,866268,871825,3,0
861273,866268,871825,3,0
861274,866268,871825,3,0
861275,866268,871825,3,0
861276,866268,871825,3,0
861277,871344,871597,3,0
861278,871344,871597,3,0
861279,871344,871597,3,0
861280,871344,871597,3,0
861281,871344,871597,3,0
861282,871351,866346,3,0
861283,871351,866346,3,0
861284,871351,866346,3,0
861285,871351,866346,1,0
861286,871351,866346,3,0
861287,871351,866346,3,0
861288,871827,871826,3,0
861289,871827,871826,3,0
861290,871827,871826,3,0
861291,871827,871826,3,0
861292,865850,871640,3,0
861293,865850,871640,3,0
861294,865850,871640,3,0
861295,865850,871640,3,0
861296,871355,871102,3,0
861297,871360,871341,3,0
861298,871523,871595,3,0
861299,871523,871595,3,0
861300,871523,871595,3,0
861301,871523,871595,3,0
861302,870607,871619,3,0
861303,870607,871619,3,0
861304,870607,871619,3,0
861305,870607,871619,3,0
861306,870607,871619,3,0
861307,870607,871619,3,0
861308,870607,871619,3,0
861309,861326,869036,3,0
861310,861326,869036,3,0
861311,861326,869036,3,0
861312,861326,869036,3,0
861313,861326,869036,3,0
861314,871127,871632,3,0
861315,871127,871632,3,0
861316,871127,871632,3,0
861317,870404,871615,3,0
861318,870404,871615,3,0
861319,870404,871615,3,0
861320,870404,871615,3,0
861321,870404,871615,3,0
861322,871106,871627,3,0
861323,871106,871627,3,0
861324,871106,871627,3,0
861325,871106,871627,3,0
861327,871009,871005,1,0
861329,871536,JC30693,3,0
861330,871536,JC30693,3,0
861331,871536,JC30693,3,0
861332,871536,JC30693,3,0
861333,871536,JC30693,3,0
861334,871355,871102,3,0
861335,870388,871639,3,0
861336,870388,871639,3,0
861337,870388,871639,3,0
861338,870388,871639,3,0
861339,860169,871969,3,0
861340,860169,871969,3,0
861341,860169,871969,3,0
861342,868640,869059,3,0
861343,868640,869059,3,0
861344,868640,869059,3,0
861345,868640,869059,3,0
861346,871144,868905,3,0
861347,871144,868905,3,0
861348,871144,868905,3,0
861349,871144,868905,3,0
861350,871971,871634,3,0
861351,871631,871828,3,0
861352,871631,871828,3,0
861353,871631,871828,3,0
861354,871631,871828,3,0
861355,860169,871969,3,0
861356,871951,871952,3,0
861357,871951,871952,3,0
861358,871951,871952,3,0
861359,871951,871952,3,0
861360,865988,871409,3,0
861361,865988,871409,3,0
861362,865988,871409,3,0
861363,865988,871409,3,0
861364,871523,871595,3,0
861365,871523,871595,3,0
861366,871636,865492,3,0
861367,871638,871637,3,0
861368,871638,871637,3,0
861370,871355,871102,3,0
861371,871355,871102,3,0
861372,871355,871102,3,0
861373,865327,871309,3,0
861374,865327,871309,3,0
861375,865327,871309,3,0
861376,865327,871309,3,0
861377,865327,871309,3,0
861378,865327,871309,3,0
861379,862729_1,862729,3,0
861380,862729_1,862729,3,0
861381,858930,871378,3,0
861382,863667,871646,3,0
861383,863667,871646,3,0
861384,863667,871646,3,0
861385,863667,871646,3,0
861386,863667,871646,3,0
861387,861328,863188,3,0
861388,861328,863188,3,0
861389,858930,871378,3,0
861390,861328,863188,3,0
861391,858930,871378,3,0
861392,858930,871378,3,0
861393,863658,871014,3,0
861394,863658,871014,3,0
861395,863658,871014,3,0
861451,NA,NA,3,0
861452,NA,NA,3,0
861453,NA,NA,3,0
861454,NA,NA,3,0
861455,NA,NA,3,0
861456,NA,NA,3,0
861457,NA,NA,3,0
861458,NA,NA,3,0
861459,NA,NA,3,0
861460,NA,NA,3,0
861461,NA,NA,3,0
861462,NA,NA,3,0
861488,NA,NA,3,0
861489,NA,NA,3,0
861490,NA,NA,3,0
861491,NA,NA,3,0
861538,843786,865499,3,0
861539,843786,865499,3,0
861540,843786,865499,3,0
861541,865850,871640,3,0
861542,865850,871640,3,0
861543,865850,871640,3,0
861544,865850,871640,3,0
861545,871630_1,871630,3,0
861546,871630_1,871630,3,0
861547,871630_1,871630,3,0
861548,861327,861526,3,0
861549,861327,861526,3,0
861550,861327,861526,3,0
861551,871124,870390,3,0
861552,871124,870390,3,0
861553,871124,870390,3,0
861554,871124,870390,3,0
861555,871124,870390,3,0
861556,861327,861526,3,0
861557,871951,871005,3,0
861558,871951,871005,3,0
861559,866268,871825,3,0
861560,866268,871825,3,0
861561,866268,871825,3,0
861562,866268,871825,3,0
861563,866268,871110,3,0
861564,866268,871110,3,0
861565,866268,871110,3,0
861566,866268,871110,3,0
861567,866268,871110,3,0
861568,861575,876251,3,0
861569,861575,876251,3,0
861570,861575,876251,3,0
861571,861575,876251,3,0
861572,861575,876251,3,0
861573,861575,876251,3,0
861576,861398,871826,3,0
861577,861398,871826,3,0
861578,861398,871826,3,0
861579,871388,868802,3,0
861580,871388,868802,3,0
861581,871388,868802,3,0
861582,871388,868802,3,0
861583,871388,868802,3,0
861584,866000,862729,3,0
861585,866000,862729,3,0
861586,866000,862729,3,0
861587,866000,862729,3,0
861588,866000,862729,3,0
861589,866000,862729,3,0
861590,862963,862742,3,0
861591,862963,862742,3,0
861592,862963,862742,3,0
861593,862963,862742,3,0
861594,862963,862742,3,0
861595,862963,862742,3,0
861596,871534,870625,3,0
861597,871534,870625,3,0
861598,871534,870625,2,0
861599,871534,870625,3,0
861600,871534,870625,3,0
861601,871534,870625,3,0
861602,871534,870625,3,0
861603,871534,870625,3,0
861604,860198,871639,3,0
861605,860198,871639,3,0
861606,860198,871639,3,0
861607,860198,871639,3,0
861608,864547,871828,3,0
861609,864547,871828,3,0
861610,864547,871828,3,0
861611,864547,871828,3,0
861612,861501,861397,3,0
861613,861501,861397,3,0
861614,861501,861397,3,0
861615,871131,871330,3,0
861616,871131,871330,3,0
861617,871131,871330,3,0
861618,871131,871330,3,0
861619,871131,871330,3,0
861620,864453,865740,3,0
861621,864453,865740,2,0
861622,864453,865740,3,0
861623,864453,865740,3,0
861624,864453,865740,3,0
861625,864453,865740,3,0
861626,863667,871646,1,0
861627,863667,871646,3,0
861628,863667,871646,3,0
861629,863667,871646,3,0
861630,863667,871646,3,0
861631,865490,871600,3,0
861632,865490,871600,3,0
861633,865490,871600,3,0
861634,871951,871005,1,0
861635,871951,871005,3,0
861636,871951,871005,3,0
861637,871951,871005,3,0
861638,862890,865815,3,0
861639,862890,865815,3,0
861640,862890,865815,3,0
861641,862890,865815,3,0
861642,862890,865815,3,0
861643,871355,859947,3,0
861644,871355,859947,3,0
861645,865327,861503,3,0
861646,865327,861503,3,0
861647,865327,861503,3,0
861648,865327,861503,3,0
861649,865327,861503,3,0
861650,870607,871619,3,0
862200,NA,NA,2,0
862629,NA,NA,3,0
862630,NA,NA,3,0
