id,dadid,momid,sex,seq
M031715,M026629,M022694,2,1
M031721,M026629,M022694,2,1
M031722,M026629,M022694,1,1
M031723,M026629,M022694,1,1
M031724,M026629,M022694,2,1
M031760,M031581,M027970,2,1
M031768,M032400,M032314,2,1
M031770,M032400,M032314,1,1
M031771,M032400,M032314,1,1
M031772,M032400,M032314,1,1
M031773,M032400,M032314,2,1
M031882,M031524,M035431,1,1
M031888,M032003,M022866,2,1
M031889,M032003,M022866,1,1
M031890,M032003,M022866,1,1
M031891,M032003,M022866,2,1
M031892,M032003,M022866,2,1
M031893,M032003,M022866,2,1
M031894,M032003,M022866,2,1
M031895,M032460,M032424,1,1
M032144,M032251,M027970,1,1
M032203,M026478,M027889,1,1
M032254,M022673,M026986,2,1
M032322,M032348,M032231,1,1
M032330,M026075,M032230,1,1
M032352,M032362,M032229,2,1
M032400,M004206,M032314,1,1
M032409,M034517,M032347,1,1
M032424,M032203,M032228,2,1
M033603,NA,NA,1,1
M033660,NA,NA,2,1
M034517,NA,NA,1,1
M035431,NA,NA,2,1
M037524,M032460,M032424,1,1
M037525,M032460,M032424,2,1
M037624,M031653,M032352,2,1
M037625,M031653,M032352,2,1
M037626,M031653,M032352,1,1
M037627,M031653,M032352,2,1
M037628,M031653,M032352,2,1
M026960,M022113,M022135,1,1
M026961,M022113,M022135,2,1
M026962,M022113,M022135,1,1
M026963,M022113,M022135,2,1
M026964,M022113,M022135,2,1
M026985,M026478,M027889,2,1
M026986,M022673,M022177,2,1
M027889,NA,NA,2,1
M027954,NA,NA,1,1
M027970,NA,NA,2,1
M028838,NA,NA,2,1
M031524,M022855,M022858,1,1
M031532,M034814,M022647,1,1
M031534,M032108,M022865,2,1
M031535,M032108,M022865,2,1
M031536,M032108,M022865,2,1
M031537,M032108,M022865,2,1
M031559,M032409,M022098,1,1
M031560,M032409,M022098,1,1
M031562,M032409,M022098,2,1
M031563,M032409,M022098,1,1
M031598,M032441,M031538,1,1
M031610,M032322,M017312,2,1
M031650,M031800,M031555,2,1
M031653,M031523,M032478,1,1
M031654,M031523,M032478,2,1
M031661,M022855,M033660,1,1
M031673,M032460,M032424,1,1
M031674,M032460,M032424,2,1
M031675,M032460,M032424,1,1
M031676,M032460,M032424,2,1
M031677,M032460,M032424,1,1
M031901,M026629,M022694,2,1
M031969,M031774,M032226,2,1
M032003,M032025,M010969,1,1
M032015,M026361,M026583,2,1
M032022,M022673,M026986,1,1
M032023,M022673,M026986,2,1
M032024,M022673,M026986,2,1
M032108,M032218,M026986,1,1
M032119,M026832,M022861,2,1
M032120,M026832,M022861,1,1
M032121,M026832,M022861,2,1
M032122,M026832,M022861,2,1
M032123,M026832,M022861,2,1
M032441,M032401_1,M032401,1,1
M032444,M026825,M026986,1,1
M032445,M026825,M026986,1,1
M032446,M026825,M026986,2,1
M032447,M026825,M026986,1,1
M032460,M032051,M004207,1,1
M032487,M022113,M014948,1,1
M031800,NA,NA,1,1
M032219,unknwn7,unknwn8,2,1
M032220,NA,NA,1,1
M032230,NA,NA,2,1
M032251,NA,NA,1,1
M032314,NA,NA,2,1
M032347,NA,NA,2,1
M037594,NA,NA,2,1
M031523,unknwn7,unknwn8,1,1
M031538,NA,NA,2,1
M031555,NA,NA,2,1
M031581,NA,NA,1,1
M032002,NA,NA,1,1
M032025,unknwn5,unknwn6,1,1
M032051,NA,NA,1,1
M032124,NA,NA,2,1
M032478,NA,NA,2,1
M038321,M042107,M038012,1,1
M038351,M031598,M031610,2,1
M038353,M031598,M031610,2,1
M038355,M031598,M031610,2,1
M038481,M032356,M032109,1,1
M038482,M032356,M032109,2,1
M037688,M031598,M031610,1,1
M037689,M031598,M031610,2,1
M037690,M031598,M031610,1,1
M037758,M032487,M031650,2,1
M037759,M032487,M031650,1,1
M037761,M032487,M031650,2,1
M037925,M031882,M031760,1,1
M037926,M031882,M031760,1,1
M037929,M031882,M031760,2,1
M037930,M031882,M031760,1,1
M037942,M032356,M032109,1,1
M037944,M032356,M032109,1,1
M038012,M032251,M032393,2,1
M038091,M032003,M031654,1,1
M038092,M032003,M031654,1,1
M038093,M032003,M031654,1,1
M038094,M032003,M031654,1,1
M038096,M032003,M031654,1,1
M038154,M031661,M022891,1,1
M038155,M031661,M022891,2,1
M038156,M031661,M022891,1,1
M038157,M031661,M022891,1,1
M038169,M031532,M031969,2,1
M038183,M031882,M031760,1,1
M038200,M031532,M031969,2,1
M038472,NA,NA,1,1
M043620,unknwn9,unknwn10,1,1
M043618,unknwn9,unknwn10,1,1
M043617,unknwn9,unknwn10,1,1
M043619,unknwn9,unknwn10,1,1
M043762,M041345,M038149,1,1
M043763,M041345,M038149,1,1
M043764,M038472,M037594,1,1
M043765,M041345,M038149,2,1
M043766,M041345,M038149,2,1
M043767,M041345,M038149,1,1
M040627,M032479,M043819,2,1
M040628,M032479,M043819,1,1
