LibName MeanCov CovSC13 Ratio Sex
4290161_S429 2.0714 1.75174152077133 0.845679984923883 1
849754_S1 1.4145 0.738228921191323 0.521900969382342 2
858925_S115 1.2843 1.18407271493819 0.921959600512493 1
861525_S2 1.5704 0.836812409424672 0.532865772685095 2
861574_S32 1.8991 1.75850731102616 0.925968780488737 1
861621_S3 1.333 0.689632089999173 0.517353405850843 2
863188_S1 2.0129 1.052767209668 0.523010189114212 2
866976_S4 1.5623 0.785303019075548 0.502658272467226 2
870404_S345 2.0993 1.96410313070061 0.935599071452681 1
870625_S5 1.4684 0.808039183354818 0.550285469459833 2
871596_S6 2.2308 1.21233323067524 0.543452228202994 2
871636_S14 1.8882 1.58351906968137 0.838639481877644 1
871649_S598 2.4117 1.19841050378029 0.496915248074091 2
871828_S7 1.703 0.884714890772735 0.519503752655746 2
871895_S23 3.3972 3.09263825974319 0.910349187490637 1
873612_S793 3.1215 3.04087400895028 0.97417075410869 1
873932_S875 2.2094 1.95794700299209 0.886189464556932 1
875998_S8 2.711 1.39326766286585 0.513931266272905 2
876459_S9 1.2397 0.676360099808976 0.545583689448235 2
877111_S10 1.7254 0.859301678288886 0.498030415143669 2
877320_S676 2.6099 2.16190294815198 0.828347043239964 1
877391_S11 1.1923 0.627021087649039 0.525892047009175 2
877393_S516 2.0442 1.69219721828845 0.827804137701033 1
877457_S510 1.5752 1.1923043366633 0.756922509308847 1
877460_S106 2.0586 1.05858411724539 0.514225258547259 2
877461_S12 1.0385 0.580006962950311 0.558504538228513 2
877476_S13 2.0769 1.10161453999 0.53041289421253 2
877477_S2 1.4745 0.807306544040988 0.547512067847398 2
877478_S3 3.2391 1.62162765751187 0.500641430493616 2
877479_S346 2.2842 1.11738523545352 0.489180122341966 2
877486_S14 1.8805 1.02172478991111 0.543326131300774 2
877490_S15 1.9177 1.05415310419181 0.549696565777656 2
877499_S16 1.7673 0.933846075062144 0.528402690580062 2
877505_S426 1.7898 0.871242259665956 0.486781908406502 2
877555_S344 2.0843 1.81860803935945 0.872527006361582 1
877562_S17 1.7805 0.96003981941048 0.539196753389767 2
877563_S18 1.4268 0.734277058876489 0.514632084998941 2
877605_S19 1.3547 1.28123846900845 0.945772841963868 1
877701_S20 1.9181 1.00657319626959 0.524776182821328 2
877798_S31 1.8543 1.60308314591116 0.86452200070709 1
877892_S21 2.0572 1.08707064323217 0.528422439836756 2
877916_S4 1.8465 1.58218252147952 0.856854872179541 1
877919_S22 2.1036 1.06982076617311 0.508566631571168 2
877920_S599 3.0698 1.58725753474826 0.517055682698631 2
877922_S671 2.4666 2.25233886721279 0.913135030897914 1
877924_S23 2.1911 1.1114954140784 0.507277355701885 2
877925_S24 2.1536 1.10268248858539 0.512018243213868 2
877926_S594 3.3022 1.67633714660278 0.507642525165884 2
877932_S25 1.4647 0.714332524551894 0.48769886294251 2
877938_S5 1.8825 0.926790677181624 0.492319084824236 2
877940_S26 2.1567 1.1169952152291 0.517918679106553 2
877941_S27 1.5298 0.796191356682525 0.520454540908959 2
877943_S28 1.787 0.914747267078859 0.511889908829804 2
877944_S29 1.4574 1.2844007901718 0.881295999843421 1
877945_S30 1.6671 0.854590230701836 0.512620856998282 2
877952_S31 2.1647 1.12934733674112 0.521710785208631 2
877953_S274 1.0626 0.958932250427956 0.902439535505323 1
877954_S196 2.4472 2.27021910770261 0.927680249960202 1
877955_S32 1.5559 0.803222654720325 0.516243109917298 2
877956_S33 1.5876 0.797972922710781 0.502628447159726 2
877958_S499 1.9326 1.71095819848495 0.885314187356387 1
877961_S34 1.8115 0.941250603289499 0.519597352078112 2
877970_S35 1.4189 0.728098223669596 0.513142732870249 2
877973_S348 2.2538 2.04553121653447 0.907592162807022 1
878735_S36 0.894 0.479791135242441 0.536679122195124 2
880843_S37 1.6123 0.786198828862307 0.487625645886192 2
881078_S38 1.3639 0.667288648730418 0.489250420654314 2
881096_S113 1.788 1.53737894819973 0.859831626509918 1
881104_S39 2.3445 1.20506066802676 0.513994740041269 2
881112_S275 1.4049 1.33230808329815 0.948329477755105 1
881115_S343 2.1071 1.06340793521209 0.504678437289207 2
881120_S197 1.9474 1.78331290852893 0.915740427507926 1
881125_S114 1.9912 1.83095350628448 0.919522652814624 1
881444_S40 1.3507 0.660322135656397 0.488874017662247 2
881555_S41 1.6161 0.848254511047259 0.524877489664785 2
881671_S264 1.6525 1.4968699791781 0.905821470001879 1
881868_S6 2.447 1.21803870975298 0.497768169085812 2
883089_S42 2.0321 0.982976481276767 0.483724463007119 2
883554_S43 1.2004 0.621564080611578 0.517797468020308 2
885898_S44 1.6409 0.849375471106367 0.517627808584537 2
886258_S45 1.8644 1.04925803095521 0.562785899461067 2
886872_S46 1.593 1.43236874651312 0.899164310428829 1
887023_S47 1.7934 0.929708682862102 0.518405644508811 2
887211_S48 1.0078 0.493476897413686 0.489657568380319 2
887234_S49 1.4549 0.724977795690788 0.498300773723822 2
887328_S430 1.4812 1.26628999383744 0.854908178394169 1
887435_S7 2.1035 1.03574068102388 0.492389199440875 2
887558_S50 2.5731 1.27399926119751 0.495122327619414 2
889016_S51 1.7653 0.967598037883765 0.548121020723823 2
889017_S30 2.4167 2.09702199451568 0.867721270540687 1
889023_S52 1.7868 0.916406798219593 0.5128759784081 2
889035_S179 2.4449 1.23346971414536 0.504507224894825 2
889038_S102 1.2855 1.14410684211734 0.890009212071057 1
889061_S21 2.6509 1.34796100280981 0.508491834022337 2
889063_S8 2.0514 1.05868102850757 0.516077326951143 2
889095_S53 1.0215 0.826625731469642 0.809227343582616 1
