rawVCFname,pop,NEWname,sex
M031723G11,CH,M031723,1
M031724H11,CH,M031724,2
M031760B6,CH,M031760,2
M031768,CH,M031768,2
M031770,CH,M031770,1
M031771,CH,M031771,1
M031772,CH,M031772,1
M031773,CH,M031773,2
M031800F5,CH,M031800,1
M031882C6,CH,M031882,1
M031888F7,CH,M031888,2
M031889G7,CH,M031889,1
M031890H7,CH,M031890,1
M031891A8,CH,M031891,2
M031893C8,CH,M031893,2
M031894D8,CH,M031894,2
M031895B2,CH,M031895,1
M031901A12,CH,M031901,2
M031969,CH,M031969,2
M032002H,CH,M032002,1
M032003E7,CH,M032003,1
M032015A4,CH,M032015,2
M032022,CH,M032022,1
M032023,CH,M032023,2
M032024,CH,M032024,2
M032025C5,CH,M032025,1
M032051B1,CH,M032051,1
M032108B5,CH,M032108,1
M032119A10,CH,M032119,2
M032120B10,CH,M032120,1
M032121C10,CH,M032121,2
M032122D10,CH,M032122,2
M032123E10,CH,M032123,2
M032124H,CH,M032124,2
M032144B4,CH,M032144,1
M032203H,CH,M032203,1
M032219H,CH,M032219,2
M032220H,CH,M032220,1
M032230H,CH,M032230,2
M032251H3,CH,M032251,1
M032254,CH,M032254,1
M032314,CH,M032314,2
M032322H7,CH,M032322,1
M032330H,CH,M032330,1
M032347E2,CH,M032347,2
M032352D6,CH,M032352,2
M032400,CH,M032400,1
M032409H2,CH,M032409,1
M032424C1,CH,M032460,2
M032441G4,CH,M032441,1
M032444B9,CH,M032444,1
M032445C9,CH,M032445,1
M032446D9,CH,M032446,2
M032447E9,CH,M032447,1
M032460D1,CH,M032424,1
M032478A5,CH,M032478,2
M032487H5,CH,M032487,1
M033603H,CH,M033603,1
M033660G11,CH,M033660,2
M034517F2,CH,M034517,1
M035431H5,CH,M035431,2
M037524C2,CH,M037524,1
M037525D2,CH,M037525,2
M037594,CH,M037594,2
M037624F6,CH,M037624,2
M037625G6,CH,M037625,2
M037626H6,CH,M037626,1
M037627A7,CH,M037627,2
M037628B7,CH,M037628,2
M037688E8,CH,M037688,1
M037689F8,CH,M037689,2
M037690G8,CH,M037690,1
M037758A6,CH,M037758,2
M037759B6,CH,M037759,1
M037761C6,CH,M037761,2
M037925D6,CH,M037925,1
M037926E6,CH,M037926,1
M037929F6,CH,M037929,2
M037930G6,CH,M037930,1
M037942E6,CH,M037942,1
M037944H6,CH,M037944,1
M038012,CH,M038012,2
M038091F5,CH,M038091,1
M038092G5,CH,M038092,1
M038093H5,CH,M038093,1
M038094A6,CH,M038094,1
M038096B6,CH,M038096,1
M038154C7,CH,M038154,1
M038155D7,CH,M038155,2
M038156E7,CH,M038156,1
M038157F7,CH,M038157,1
M038169,CH,M038169,2
M038183H6,CH,M038183,1
M038200,CH,M038200,2
M038321,CH,M038321,1
M038351H8,CH,M038351,2
M038353A9,CH,M038353,2
M038355B9,CH,M038355,2
M038472,CH,M038472,1
M038481G6,CH,M038481,1
M038482F6,CH,M038482,2
M040627,CH,M040627,2
M040628,CH,M040628,1
M040918,CH,M040918,2
M040919,CH,M040919,1
M040920,CH,M040920,2
M043044,CH,M043044,2
M043617,CH,M043617,1
M043618,CH,M043618,1
M043619,CH,M043619,1
M043620,CH,M043620,1
M043762,CH,M043762,1
M043763,CH,M043763,1
M043764,CH,M043764,1
M043765,CH,M043765,2
M043766,CH,M043766,2
M043767,CH,M043767,1
M047566,CH,M047566,1
M047567,CH,M047567,1
M047568,CH,M047568,1
M047588,CH,M047588,1
