New_name,Library_name,Population,Position_in_cluster,Sex,Coverage,Project,Paper_Description,NCBI_number,Comments
M031919,M031919_S150,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M031919_S150_markdup.bam,3,NA,3K_OWLS,NA,NA,NA
877973,877973_S348,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/877973_S348_markdup.bam,1,NA,3K_OWLS,NA,NA,NA
M038240,M038240_S208,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M038240_S208_markdup.bam,3,NA,3K_OWLS,NA,NA,NA
M026337,M026337_S685,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M026337_S685_markdup.bam,3,NA,3K_OWLS,NA,NA,NA
M043579,M043579_S212,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M043579_S212_markdup.bam,1,NA,3K_OWLS,NA,NA,NA
881115,881115_S343,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/881115_S343_markdup.bam,2,NA,3K_OWLS,NA,NA,NA
M031655,M031655_S730,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M031655_S730_markdup.bam,1,NA,3K_OWLS,NA,NA,NA
895501,895501_S260,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/895501_S260_markdup.bam,2,NA,3K_OWLS,NA,NA,NA
M031935,M031935_S486,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M031935_S486_markdup.bam,3,NA,3K_OWLS,NA,NA,NA
M031910,M031910_S631,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M031910_S631_markdup.bam,3,NA,3K_OWLS,NA,NA,NA
M031752,M031752_S899,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M031752_S899_markdup.bam,1,NA,3K_OWLS,NA,NA,NA
M026523,M026523_S876,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M026523_S876_markdup.bam,3,NA,3K_OWLS,NA,NA,NA
M040892,M040892_S817,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M040892_S817_markdup.bam,2,NA,3K_OWLS,NA,NA,NA
M037764,M037764_S50,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M037764_S50_markdup.bam,3,NA,3K_OWLS,NA,NA,NA
M038007,M038007_S470,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M038007_S470_markdup.bam,1,NA,3K_OWLS,NA,NA,NA
M037900,M037900_S378,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M037900_S378_markdup.bam,3,NA,3K_OWLS,NA,NA,NA
M038465,M038465_S611,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M038465_S611_markdup.bam,3,NA,3K_OWLS,NA,NA,NA
M026763,M026763_S591,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M026763_S591_markdup.bam,3,NA,3K_OWLS,NA,NA,NA
M037876,M037876_S870,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M037876_S870_markdup.bam,3,NA,3K_OWLS,NA,NA,NA
M038003,M038003_S801,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M038003_S801_markdup.bam,3,NA,3K_OWLS,NA,NA,NA
M038203,M038203_S861,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M038203_S861_markdup.bam,3,NA,3K_OWLS,NA,NA,NA
M040516,M040516_S462,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M040516_S462_markdup.bam,3,NA,3K_OWLS,NA,NA,NA
M004208,M004208_S638,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M004208_S638_markdup.bam,2,NA,3K_OWLS,NA,NA,NA
M040665,M040665_S911,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M040665_S911_markdup.bam,2,NA,3K_OWLS,NA,NA,NA
877953,877953_S274,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/877953_S274_markdup.bam,1,NA,3K_OWLS,NA,NA,NA
M038202,M038202_S942,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M038202_S942_markdup.bam,3,NA,3K_OWLS,NA,NA,NA
M038052,M038052_S533,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M038052_S533_markdup.bam,3,NA,3K_OWLS,NA,NA,NA
M043256,M043256_S259,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M043256_S259_markdup.bam,1,NA,3K_OWLS,NA,NA,NA
M032473,M032473_S152,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M032473_S152_markdup.bam,1,NA,3K_OWLS,NA,NA,NA
M010989,M010989_S776,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M010989_S776_markdup.bam,3,NA,3K_OWLS,NA,NA,NA
M040503,M040503_S130,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M040503_S130_markdup.bam,3,NA,3K_OWLS,NA,NA,NA
M005243,M005243_S262,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M005243_S262_markdup.bam,1,NA,3K_OWLS,NA,NA,NA
M031642,M031642_S731,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M031642_S731_markdup.bam,3,NA,3K_OWLS,NA,NA,NA
M043760,M043760_S8,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M043760_S8_markdup.bam,2,NA,3K_OWLS,NA,NA,NA
889830,889830_S276,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/889830_S276_markdup.bam,2,NA,3K_OWLS,NA,NA,NA
M011343,M011343_S100,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M011343_S100_markdup.bam,1,NA,3K_OWLS,NA,NA,NA
M040563,M040563_S64,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M040563_S64_markdup.bam,2,NA,3K_OWLS,NA,NA,NA
M037859,M037859_S709,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M037859_S709_markdup.bam,2,NA,3K_OWLS,NA,NA,NA
M038010,M038010_S227,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M038010_S227_markdup.bam,3,NA,3K_OWLS,NA,NA,NA
889184,889184_S17,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/889184_S17_markdup.bam,1,NA,3K_OWLS,NA,NA,NA
895042,895042_S271,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/895042_S271_markdup.bam,2,NA,3K_OWLS,NA,NA,NA
